Series,V,A,Time,Concentration
RS_R01_INC-1,50,0.000298,0,8.95
RS_R01_INC-1,50,0.000298,2,8.66
RS_R01_INC-1,50,0.000298,4,8.39
RS_R01_INC-1,50,0.000298,6,8.48
RS_R01_INC-1,50,0.000298,8,8.39
RS_R01_INC-1,50,0.000298,10,8.57
RS_R01_INC-1,50,0.000298,12,8.25
RS_R01_INC-1,50,0.000298,14,8.46
RS_R01_INC-1,50,0.000298,16,8.16
RS_R01_INC-1,50,0.000298,18,8.32
RS_R01_INC-1,50,0.000298,20,8.21
RS_R01_INC-1,50,0.000298,22,8.28
RS_R01_INC-1,50,0.000298,24,8.15
RS_R01_INC-1,50,0.000298,26,8.26
RS_R01_INC-1,50,0.000298,28,8.11
RS_R01_INC-1,50,0.000298,30,8.3
RS_R01_INC-1,50,0.000298,32,8.06
RS_R01_INC-1,50,0.000298,34,8.27
RS_R01_INC-1,50,0.000298,36,8.06
RS_R01_INC-1,50,0.000298,38,8.26
RS_R01_INC-1,50,0.000298,40,8.03
RS_R01_INC-1,50,0.000298,42,8.27
RS_R01_INC-1,50,0.000298,44,7.98
RS_R01_INC-1,50,0.000298,46,8.1
RS_R01_INC-1,50,0.000298,48,8
RS_R01_INC-1,50,0.000298,50,8.11
RS_R01_INC-1,50,0.000298,52,8.02
RS_R01_INC-1,50,0.000298,54,8.16
RS_R01_INC-1,50,0.000298,56,8.02
RS_R01_INC-1,50,0.000298,58,8.08
RS_R01_INC-1,50,0.000298,60,7.98
RS_R01_INC-1,50,0.000298,62,8.06
RS_R01_INC-1,50,0.000298,64,8.03
RS_R01_INC-1,50,0.000298,66,7.95
RS_R01_INC-1,50,0.000298,68,7.96
RS_R01_INC-1,50,0.000298,70,8.1
RS_R01_INC-1,50,0.000298,72,7.83
RS_R01_INC-1,50,0.000298,74,8.11
RS_R01_INC-1,50,0.000298,76,7.86
RS_R01_INC-1,50,0.000298,78,8
RS_R01_INC-1,50,0.000298,80,7.89
RS_R01_INC-1,50,0.000298,82,8
RS_R01_INC-1,50,0.000298,84,7.97
RS_R01_INC-1,50,0.000298,86,7.96
RS_R01_INC-1,50,0.000298,88,7.96
RS_R01_INC-1,50,0.000298,90,7.86
RS_R01_INC-1,50,0.000298,92,7.97
RS_R01_INC-1,50,0.000298,94,7.82
RS_R01_INC-1,50,0.000298,96,7.97
RS_R01_INC-1,50,0.000298,98,7.92
RS_R01_INC-1,50,0.000298,100,7.92
RS_R01_INC-1,50,0.000298,102,7.91
RS_R01_INC-1,50,0.000298,104,8.07
RS_R01_INC-1,50,0.000298,106,7.8
RS_R01_INC-1,50,0.000298,108,8.09
RS_R01_INC-1,50,0.000298,110,7.87
RS_R02_INC-1,50,0.000298,0,8.95
RS_R02_INC-1,50,0.000298,2,9.98
RS_R02_INC-1,50,0.000298,4,8.85
RS_R02_INC-1,50,0.000298,6,8.33
RS_R02_INC-1,50,0.000298,8,8.06
RS_R02_INC-1,50,0.000298,10,7.68
RS_R02_INC-1,50,0.000298,12,7.51
RS_R02_INC-1,50,0.000298,14,7.92
RS_R02_INC-1,50,0.000298,16,7.54
RS_R02_INC-1,50,0.000298,18,7.55
RS_R02_INC-1,50,0.000298,20,7.77
RS_R02_INC-1,50,0.000298,22,7.62
RS_R02_INC-1,50,0.000298,24,7.54
RS_R02_INC-1,50,0.000298,26,7.94
RS_R02_INC-1,50,0.000298,28,7.63
RS_R02_INC-1,50,0.000298,30,7.56
RS_R02_INC-1,50,0.000298,32,7.61
RS_R02_INC-1,50,0.000298,34,7.73
RS_R02_INC-1,50,0.000298,36,7.56
RS_R02_INC-1,50,0.000298,38,7.58
RS_R02_INC-1,50,0.000298,40,7.76
RS_R02_INC-1,50,0.000298,42,7.66
RS_R02_INC-1,50,0.000298,44,7.5
RS_R02_INC-1,50,0.000298,46,7.73
RS_R02_INC-1,50,0.000298,48,7.8
RS_R02_INC-1,50,0.000298,50,7.52
RS_R02_INC-1,50,0.000298,52,7.71
RS_R02_INC-1,50,0.000298,54,7.6
RS_R02_INC-1,50,0.000298,56,7.48
RS_R02_INC-1,50,0.000298,58,7.54
RS_R02_INC-1,50,0.000298,60,7.84
RS_R02_INC-1,50,0.000298,62,7.52
RS_R02_INC-1,50,0.000298,64,7.44
RS_R02_INC-1,50,0.000298,66,7.7
RS_R02_INC-1,50,0.000298,68,7.55
RS_R02_INC-1,50,0.000298,70,7.77
RS_R02_INC-1,50,0.000298,72,7.6
RS_R02_INC-1,50,0.000298,74,7.47
RS_R02_INC-1,50,0.000298,76,7.71
RS_R02_INC-1,50,0.000298,78,7.57
RS_R02_INC-1,50,0.000298,80,7.55
RS_R02_INC-1,50,0.000298,82,7.83
RS_R02_INC-1,50,0.000298,84,7.47
RS_R02_INC-1,50,0.000298,86,7.78
RS_R02_INC-1,50,0.000298,88,7.52
RS_R02_INC-1,50,0.000298,90,7.4
RS_R02_INC-1,50,0.000298,92,7.67
RS_R02_INC-1,50,0.000298,94,7.75
RS_R02_INC-1,50,0.000298,96,7.5
RS_R02_INC-1,50,0.000298,98,7.6
RS_R02_INC-1,50,0.000298,100,7.63
RS_R02_INC-1,50,0.000298,102,7.54
RS_R02_INC-1,50,0.000298,104,7.7
RS_R02_INC-1,50,0.000298,106,7.58
RS_R02_INC-1,50,0.000298,108,7.38
RS_R02_INC-1,50,0.000298,110,7.54
RS_R03_INC-1,50,0.000298,0,8.95
RS_R03_INC-1,50,0.000298,2,6.97
RS_R03_INC-1,50,0.000298,4,6.87
RS_R03_INC-1,50,0.000298,6,6.75
RS_R03_INC-1,50,0.000298,8,6.9
RS_R03_INC-1,50,0.000298,10,6.87
RS_R03_INC-1,50,0.000298,12,6.73
RS_R03_INC-1,50,0.000298,14,6.88
RS_R03_INC-1,50,0.000298,16,6.83
RS_R03_INC-1,50,0.000298,18,6.94
RS_R03_INC-1,50,0.000298,20,6.8
RS_R03_INC-1,50,0.000298,22,6.71
RS_R03_INC-1,50,0.000298,24,6.58
RS_R03_INC-1,50,0.000298,26,6.83
RS_R03_INC-1,50,0.000298,28,6.78
RS_R03_INC-1,50,0.000298,30,6.69
RS_R03_INC-1,50,0.000298,32,6.66
RS_R03_INC-1,50,0.000298,34,6.72
RS_R03_INC-1,50,0.000298,36,6.82
RS_R03_INC-1,50,0.000298,38,6.76
RS_R03_INC-1,50,0.000298,40,6.71
RS_R03_INC-1,50,0.000298,42,6.67
RS_R03_INC-1,50,0.000298,44,6.8
RS_R03_INC-1,50,0.000298,46,6.82
RS_R03_INC-1,50,0.000298,48,6.69
RS_R03_INC-1,50,0.000298,50,6.6
RS_R03_INC-1,50,0.000298,52,6.75
RS_R03_INC-1,50,0.000298,54,6.74
RS_R03_INC-1,50,0.000298,56,6.77
RS_R03_INC-1,50,0.000298,58,6.8
RS_R03_INC-1,50,0.000298,60,6.76
RS_R03_INC-1,50,0.000298,62,6.73
RS_R03_INC-1,50,0.000298,64,6.64
RS_R03_INC-1,50,0.000298,66,6.59
RS_R03_INC-1,50,0.000298,68,6.65
RS_R03_INC-1,50,0.000298,70,6.6
RS_R03_INC-1,50,0.000298,72,6.65
RS_R03_INC-1,50,0.000298,74,6.71
RS_R03_INC-1,50,0.000298,76,6.82
RS_R03_INC-1,50,0.000298,78,6.86
RS_R03_INC-1,50,0.000298,80,6.77
RS_R03_INC-1,50,0.000298,82,6.67
RS_R03_INC-1,50,0.000298,84,6.56
RS_R03_INC-1,50,0.000298,86,6.67
RS_R03_INC-1,50,0.000298,88,6.71
RS_R03_INC-1,50,0.000298,90,6.65
RS_R03_INC-1,50,0.000298,92,6.75
RS_R03_INC-1,50,0.000298,94,6.82
RS_R03_INC-1,50,0.000298,96,6.76
RS_R03_INC-1,50,0.000298,98,6.77
RS_R03_INC-1,50,0.000298,100,6.67
RS_R03_INC-1,50,0.000298,102,6.58
RS_R03_INC-1,50,0.000298,104,6.58
RS_R03_INC-1,50,0.000298,106,6.69
RS_R03_INC-1,50,0.000298,108,6.81
RS_R03_INC-1,50,0.000298,110,6.81
RS_R04_INC-1,50,0.000298,0,8.95
RS_R04_INC-1,50,0.000298,2,8.48
RS_R04_INC-1,50,0.000298,4,8.34
RS_R04_INC-1,50,0.000298,6,8.53
RS_R04_INC-1,50,0.000298,8,8.23
RS_R04_INC-1,50,0.000298,10,8.35
RS_R04_INC-1,50,0.000298,12,8.15
RS_R04_INC-1,50,0.000298,14,8.29
RS_R04_INC-1,50,0.000298,16,8.12
RS_R04_INC-1,50,0.000298,18,8.26
RS_R04_INC-1,50,0.000298,20,8.14
RS_R04_INC-1,50,0.000298,22,8.11
RS_R04_INC-1,50,0.000298,24,8.17
RS_R04_INC-1,50,0.000298,26,7.98
RS_R04_INC-1,50,0.000298,28,8.16
RS_R04_INC-1,50,0.000298,30,8
RS_R04_INC-1,50,0.000298,32,8.11
RS_R04_INC-1,50,0.000298,34,7.96
RS_R04_INC-1,50,0.000298,36,8.06
RS_R04_INC-1,50,0.000298,38,7.89
RS_R04_INC-1,50,0.000298,40,7.98
RS_R04_INC-1,50,0.000298,42,7.94
RS_R04_INC-1,50,0.000298,44,8.01
RS_R04_INC-1,50,0.000298,46,7.93
RS_R04_INC-1,50,0.000298,48,7.96
RS_R04_INC-1,50,0.000298,50,8.03
RS_R04_INC-1,50,0.000298,52,7.86
RS_R04_INC-1,50,0.000298,54,8.02
RS_R04_INC-1,50,0.000298,56,7.84
RS_R04_INC-1,50,0.000298,58,8.02
RS_R04_INC-1,50,0.000298,60,7.86
RS_R04_INC-1,50,0.000298,62,7.92
RS_R04_INC-1,50,0.000298,64,7.86
RS_R04_INC-1,50,0.000298,66,7.9
RS_R04_INC-1,50,0.000298,68,7.95
RS_R04_INC-1,50,0.000298,70,7.77
RS_R04_INC-1,50,0.000298,72,7.9
RS_R04_INC-1,50,0.000298,74,7.82
RS_R04_INC-1,50,0.000298,76,7.81
RS_R04_INC-1,50,0.000298,78,7.92
RS_R04_INC-1,50,0.000298,80,7.78
RS_R04_INC-1,50,0.000298,82,7.86
RS_R04_INC-1,50,0.000298,84,7.87
RS_R04_INC-1,50,0.000298,86,7.75
RS_R04_INC-1,50,0.000298,88,7.86
RS_R04_INC-1,50,0.000298,90,7.75
RS_R04_INC-1,50,0.000298,92,7.93
RS_R04_INC-1,50,0.000298,94,7.81
RS_R04_INC-1,50,0.000298,96,7.79
RS_R04_INC-1,50,0.000298,98,7.87
RS_R04_INC-1,50,0.000298,100,7.71
RS_R04_INC-1,50,0.000298,102,7.86
RS_R04_INC-1,50,0.000298,104,7.8
RS_R04_INC-1,50,0.000298,106,7.73
RS_R04_INC-1,50,0.000298,108,7.9
RS_R04_INC-1,50,0.000298,110,7.8
RS_R05_INC-1,50,0.000298,0,8.95
RS_R05_INC-1,50,0.000298,2,8.66
RS_R05_INC-1,50,0.000298,4,8
RS_R05_INC-1,50,0.000298,6,8.11
RS_R05_INC-1,50,0.000298,8,7.91
RS_R05_INC-1,50,0.000298,10,8.08
RS_R05_INC-1,50,0.000298,12,8.16
RS_R05_INC-1,50,0.000298,14,8.08
RS_R05_INC-1,50,0.000298,16,8.02
RS_R05_INC-1,50,0.000298,18,7.73
RS_R05_INC-1,50,0.000298,20,8.07
RS_R05_INC-1,50,0.000298,22,8.02
RS_R05_INC-1,50,0.000298,24,8.07
RS_R05_INC-1,50,0.000298,26,8.12
RS_R05_INC-1,50,0.000298,28,8
RS_R05_INC-1,50,0.000298,30,8.16
RS_R05_INC-1,50,0.000298,32,7.94
RS_R05_INC-1,50,0.000298,34,8
RS_R05_INC-1,50,0.000298,36,7.79
RS_R05_INC-1,50,0.000298,38,7.92
RS_R05_INC-1,50,0.000298,40,7.89
RS_R05_INC-1,50,0.000298,42,7.91
RS_R05_INC-1,50,0.000298,44,7.75
RS_R05_INC-1,50,0.000298,46,7.98
RS_R05_INC-1,50,0.000298,48,7.94
RS_R05_INC-1,50,0.000298,50,8.05
RS_R05_INC-1,50,0.000298,52,7.98
RS_R05_INC-1,50,0.000298,54,7.72
RS_R05_INC-1,50,0.000298,56,7.91
RS_R05_INC-1,50,0.000298,58,7.71
RS_R05_INC-1,50,0.000298,60,7.92
RS_R05_INC-1,50,0.000298,62,7.9
RS_R05_INC-1,50,0.000298,64,7.84
RS_R05_INC-1,50,0.000298,66,7.88
RS_R05_INC-1,50,0.000298,68,7.85
RS_R05_INC-1,50,0.000298,70,7.91
RS_R05_INC-1,50,0.000298,72,8.06
RS_R05_INC-1,50,0.000298,74,7.76
RS_R05_INC-1,50,0.000298,76,7.87
RS_R05_INC-1,50,0.000298,78,7.91
RS_R05_INC-1,50,0.000298,80,8
RS_R05_INC-1,50,0.000298,82,7.84
RS_R05_INC-1,50,0.000298,84,7.87
RS_R05_INC-1,50,0.000298,86,8.01
RS_R05_INC-1,50,0.000298,88,7.92
RS_R05_INC-1,50,0.000298,90,7.83
RS_R05_INC-1,50,0.000298,92,7.92
RS_R05_INC-1,50,0.000298,94,7.8
RS_R05_INC-1,50,0.000298,96,8.05
RS_R05_INC-1,50,0.000298,98,8
RS_R05_INC-1,50,0.000298,100,7.78
RS_R05_INC-1,50,0.000298,102,8.02
RS_R05_INC-1,50,0.000298,104,8.02
RS_R05_INC-1,50,0.000298,106,7.91
RS_R05_INC-1,50,0.000298,108,8.01
RS_R05_INC-1,50,0.000298,110,7.92
RS_R06_INC-1,50,0.000298,0,8.95
RS_R06_INC-1,50,0.000298,2,8.4
RS_R06_INC-1,50,0.000298,4,7.78
RS_R06_INC-1,50,0.000298,6,7.83
RS_R06_INC-1,50,0.000298,8,8.12
RS_R06_INC-1,50,0.000298,10,7.88
RS_R06_INC-1,50,0.000298,12,7.91
RS_R06_INC-1,50,0.000298,14,7.67
RS_R06_INC-1,50,0.000298,16,8.03
RS_R06_INC-1,50,0.000298,18,7.9
RS_R06_INC-1,50,0.000298,20,7.72
RS_R06_INC-1,50,0.000298,22,7.62
RS_R06_INC-1,50,0.000298,24,7.66
RS_R06_INC-1,50,0.000298,26,7.64
RS_R06_INC-1,50,0.000298,28,7.62
RS_R06_INC-1,50,0.000298,30,7.67
RS_R06_INC-1,50,0.000298,32,7.68
RS_R06_INC-1,50,0.000298,34,7.6
RS_R06_INC-1,50,0.000298,36,7.52
RS_R06_INC-1,50,0.000298,38,7.68
RS_R06_INC-1,50,0.000298,40,7.52
RS_R06_INC-1,50,0.000298,42,7.64
RS_R06_INC-1,50,0.000298,44,7.52
RS_R06_INC-1,50,0.000298,46,7.52
RS_R06_INC-1,50,0.000298,48,7.53
RS_R06_INC-1,50,0.000298,50,7.47
RS_R06_INC-1,50,0.000298,52,7.53
RS_R06_INC-1,50,0.000298,54,7.46
RS_R06_INC-1,50,0.000298,56,7.47
RS_R06_INC-1,50,0.000298,58,7.51
RS_R06_INC-1,50,0.000298,60,7.47
RS_R06_INC-1,50,0.000298,62,7.47
RS_R06_INC-1,50,0.000298,64,7.38
RS_R06_INC-1,50,0.000298,66,7.43
RS_R06_INC-1,50,0.000298,68,7.38
RS_R06_INC-1,50,0.000298,70,7.54
RS_R06_INC-1,50,0.000298,72,7.36
RS_R06_INC-1,50,0.000298,74,7.46
RS_R06_INC-1,50,0.000298,76,7.46
RS_R06_INC-1,50,0.000298,78,7.42
RS_R06_INC-1,50,0.000298,80,7.39
RS_R06_INC-1,50,0.000298,82,7.51
RS_R06_INC-1,50,0.000298,84,7.37
RS_R06_INC-1,50,0.000298,86,7.33
RS_R06_INC-1,50,0.000298,88,7.27
RS_R06_INC-1,50,0.000298,90,7.39
RS_R06_INC-1,50,0.000298,92,7.34
RS_R06_INC-1,50,0.000298,94,7.3
RS_R06_INC-1,50,0.000298,96,7.42
RS_R06_INC-1,50,0.000298,98,7.33
RS_R06_INC-1,50,0.000298,100,7.29
RS_R06_INC-1,50,0.000298,102,7.36
RS_R06_INC-1,50,0.000298,104,7.4
RS_R06_INC-1,50,0.000298,106,7.32
RS_R06_INC-1,50,0.000298,108,7.26
RS_R06_INC-1,50,0.000298,110,7.37
RS_R07_INC-1,50,0.000298,0,8.95
RS_R07_INC-1,50,0.000298,2,8.07
RS_R07_INC-1,50,0.000298,4,8.95
RS_R07_INC-1,50,0.000298,6,7.77
RS_R07_INC-1,50,0.000298,8,7.77
RS_R07_INC-1,50,0.000298,10,7.99
RS_R07_INC-1,50,0.000298,12,7.95
RS_R07_INC-1,50,0.000298,14,8.47
RS_R07_INC-1,50,0.000298,16,8.3
RS_R07_INC-1,50,0.000298,18,8.05
RS_R07_INC-1,50,0.000298,20,8.56
RS_R07_INC-1,50,0.000298,22,8.22
RS_R07_INC-1,50,0.000298,24,7.86
RS_R07_INC-1,50,0.000298,26,8.42
RS_R07_INC-1,50,0.000298,28,8.11
RS_R07_INC-1,50,0.000298,30,7.86
RS_R07_INC-1,50,0.000298,32,8.45
RS_R07_INC-1,50,0.000298,34,7.98
RS_R07_INC-1,50,0.000298,36,7.9
RS_R07_INC-1,50,0.000298,38,8.23
RS_R07_INC-1,50,0.000298,40,8.17
RS_R07_INC-1,50,0.000298,42,7.83
RS_R07_INC-1,50,0.000298,44,8.29
RS_R07_INC-1,50,0.000298,46,8.03
RS_R07_INC-1,50,0.000298,48,8.01
RS_R07_INC-1,50,0.000298,50,8.1
RS_R07_INC-1,50,0.000298,52,7.79
RS_R07_INC-1,50,0.000298,54,8.05
RS_R07_INC-1,50,0.000298,56,7.68
RS_R07_INC-1,50,0.000298,58,7.92
RS_R07_INC-1,50,0.000298,60,7.58
RS_R07_INC-1,50,0.000298,62,7.98
RS_R07_INC-1,50,0.000298,64,7.83
RS_R07_INC-1,50,0.000298,66,8.21
RS_R07_INC-1,50,0.000298,68,7.85
RS_R07_INC-1,50,0.000298,70,7.72
RS_R07_INC-1,50,0.000298,72,7.54
RS_R07_INC-1,50,0.000298,74,8.04
RS_R07_INC-1,50,0.000298,76,8.11
RS_R07_INC-1,50,0.000298,78,7.49
RS_R07_INC-1,50,0.000298,80,7.9
RS_R07_INC-1,50,0.000298,82,7.92
RS_R07_INC-1,50,0.000298,84,7.87
RS_R07_INC-1,50,0.000298,86,7.49
RS_R07_INC-1,50,0.000298,88,8.13
RS_R07_INC-1,50,0.000298,90,7.58
RS_R07_INC-1,50,0.000298,92,7.88
RS_R07_INC-1,50,0.000298,94,7.43
RS_R07_INC-1,50,0.000298,96,7.71
RS_R07_INC-1,50,0.000298,98,7.85
RS_R07_INC-1,50,0.000298,100,7.29
RS_R07_INC-1,50,0.000298,102,7.9
RS_R07_INC-1,50,0.000298,104,7.95
RS_R07_INC-1,50,0.000298,106,7.68
RS_R07_INC-1,50,0.000298,108,7.44
RS_R07_INC-1,50,0.000298,110,7.99
RS_S01_INC-1,50,0.000298,0,9.09
RS_S01_INC-1,50,0.000298,2,7.86
RS_S01_INC-1,50,0.000298,4,7.8
RS_S01_INC-1,50,0.000298,6,7.88
RS_S01_INC-1,50,0.000298,8,7.73
RS_S01_INC-1,50,0.000298,10,7.69
RS_S01_INC-1,50,0.000298,12,7.69
RS_S01_INC-1,50,0.000298,14,7.72
RS_S01_INC-1,50,0.000298,16,7.78
RS_S01_INC-1,50,0.000298,18,7.77
RS_S01_INC-1,50,0.000298,20,7.83
RS_S01_INC-1,50,0.000298,22,7.72
RS_S01_INC-1,50,0.000298,24,7.76
RS_S01_INC-1,50,0.000298,26,7.86
RS_S01_INC-1,50,0.000298,28,7.84
RS_S01_INC-1,50,0.000298,30,7.75
RS_S01_INC-1,50,0.000298,32,7.81
RS_S01_INC-1,50,0.000298,34,7.83
RS_S01_INC-1,50,0.000298,36,7.79
RS_S01_INC-1,50,0.000298,38,7.73
RS_S01_INC-1,50,0.000298,40,7.92
RS_S01_INC-1,50,0.000298,42,7.81
RS_S01_INC-1,50,0.000298,44,7.82
RS_S01_INC-1,50,0.000298,46,7.8
RS_S01_INC-1,50,0.000298,48,7.88
RS_S01_INC-1,50,0.000298,50,7.9
RS_S01_INC-1,50,0.000298,52,7.84
RS_S01_INC-1,50,0.000298,54,7.8
RS_S01_INC-1,50,0.000298,56,7.92
RS_S01_INC-1,50,0.000298,58,7.96
RS_S01_INC-1,50,0.000298,60,7.88
RS_S01_INC-1,50,0.000298,62,7.79
RS_S01_INC-1,50,0.000298,64,7.86
RS_S01_INC-1,50,0.000298,66,7.89
RS_S01_INC-1,50,0.000298,68,7.8
RS_S01_INC-1,50,0.000298,70,7.79
RS_S01_INC-1,50,0.000298,72,7.92
RS_S01_INC-1,50,0.000298,74,7.89
RS_S01_INC-1,50,0.000298,76,7.81
RS_S01_INC-1,50,0.000298,78,7.74
RS_S01_INC-1,50,0.000298,80,7.91
RS_S01_INC-1,50,0.000298,82,7.83
RS_S01_INC-1,50,0.000298,84,7.84
RS_S01_INC-1,50,0.000298,86,7.77
RS_S01_INC-1,50,0.000298,88,7.9
RS_S01_INC-1,50,0.000298,90,7.9
RS_S01_INC-1,50,0.000298,92,7.87
RS_S01_INC-1,50,0.000298,94,7.8
RS_S01_INC-1,50,0.000298,96,7.87
RS_S01_INC-1,50,0.000298,98,7.95
RS_S01_INC-1,50,0.000298,100,7.85
RS_S01_INC-1,50,0.000298,102,7.83
RS_S01_INC-1,50,0.000298,104,7.83
RS_S01_INC-1,50,0.000298,106,7.9
RS_S01_INC-1,50,0.000298,108,7.86
RS_S01_INC-1,50,0.000298,110,7.82
RS_S02_INC-1,50,0.000298,0,9.09
RS_S02_INC-1,50,0.000298,2,7.76
RS_S02_INC-1,50,0.000298,4,7.63
RS_S02_INC-1,50,0.000298,6,7.57
RS_S02_INC-1,50,0.000298,8,7.46
RS_S02_INC-1,50,0.000298,10,7.46
RS_S02_INC-1,50,0.000298,12,7.45
RS_S02_INC-1,50,0.000298,14,7.47
RS_S02_INC-1,50,0.000298,16,7.47
RS_S02_INC-1,50,0.000298,18,7.47
RS_S02_INC-1,50,0.000298,20,7.46
RS_S02_INC-1,50,0.000298,22,7.4
RS_S02_INC-1,50,0.000298,24,7.48
RS_S02_INC-1,50,0.000298,26,7.55
RS_S02_INC-1,50,0.000298,28,7.45
RS_S02_INC-1,50,0.000298,30,7.52
RS_S02_INC-1,50,0.000298,32,7.52
RS_S02_INC-1,50,0.000298,34,7.38
RS_S02_INC-1,50,0.000298,36,7.41
RS_S02_INC-1,50,0.000298,38,7.5
RS_S02_INC-1,50,0.000298,40,7.33
RS_S02_INC-1,50,0.000298,42,7.42
RS_S02_INC-1,50,0.000298,44,7.42
RS_S02_INC-1,50,0.000298,46,7.38
RS_S02_INC-1,50,0.000298,48,7.41
RS_S02_INC-1,50,0.000298,50,7.4
RS_S02_INC-1,50,0.000298,52,7.35
RS_S02_INC-1,50,0.000298,54,7.49
RS_S02_INC-1,50,0.000298,56,7.35
RS_S02_INC-1,50,0.000298,58,7.34
RS_S02_INC-1,50,0.000298,60,7.52
RS_S02_INC-1,50,0.000298,62,7.35
RS_S02_INC-1,50,0.000298,64,7.42
RS_S02_INC-1,50,0.000298,66,7.45
RS_S02_INC-1,50,0.000298,68,7.35
RS_S02_INC-1,50,0.000298,70,7.4
RS_S02_INC-1,50,0.000298,72,7.38
RS_S02_INC-1,50,0.000298,74,7.35
RS_S02_INC-1,50,0.000298,76,7.4
RS_S02_INC-1,50,0.000298,78,7.35
RS_S02_INC-1,50,0.000298,80,7.34
RS_S02_INC-1,50,0.000298,82,7.45
RS_S02_INC-1,50,0.000298,84,7.38
RS_S02_INC-1,50,0.000298,86,7.4
RS_S02_INC-1,50,0.000298,88,7.45
RS_S02_INC-1,50,0.000298,90,7.36
RS_S02_INC-1,50,0.000298,92,7.38
RS_S02_INC-1,50,0.000298,94,7.39
RS_S02_INC-1,50,0.000298,96,7.37
RS_S02_INC-1,50,0.000298,98,7.35
RS_S02_INC-1,50,0.000298,100,7.31
RS_S02_INC-1,50,0.000298,102,7.38
RS_S02_INC-1,50,0.000298,104,7.4
RS_S02_INC-1,50,0.000298,106,7.29
